Title,Author/s,Listed by Teachers,Listed in AP exams
The Mayor of Casterbridge,Thomas Hardy,,x
The Metamorphosis,Franz Kafka,x,x
The Mill on the Floss,George Eliot,,x
The Octopus,Frank Norris,,x
The Outsiders,S. E. Hinton,x,
The Picture of Dorian Gray,Oscar Wilde,x,x
The Poisonwood Bible,Barbara Kingsolver,,x
The Portrait of a Lady,Henry James,,x
The Prime of Miss Jean Brodie,Muriel Spark,,x
The Professor's House,Willa Cather,,x
The Remains of the Day,Kazuo Ishiguro,,x
The Return of the Native,Thomas Hardy,,x
The Road,Cormac McCarthy,x,x
The Scarlet Letter,Nathaniel Hawthorne,x,x
The Secret Garden,Frances Hodgson Burnett,,x
The Sorrows of Young Werther,Johann Wolfgang von Goethe,,x
The Stone Angel,Margaret Laurence,,x
The Stranger,Albert Camus,x,x
The Street,Ann Petry,,x
The Sun Also Rises,Ernest Hemingway,,x
The Things They Carried,Tim O'Brien,x,x
The Trial,Franz Kafka,,x
The Turn of the Screw,Henry James,,x
The Vicar of Wakefield,Oliver Goldsmith,,x
The Way We Live Now,Anthony Trollope,,x
The Women of Brewster Place,Gloria Naylor,,x
Their Eyes Were Watching God,Zora Neale Hurston,x,x
Things Fall Apart,Chinua Achebe,x,x
Thus Spoke Zarathustra,Nietzsche,x,
To Kill a Mockingbird,Harper Lee,x,x
Tom Jones,Henry Fielding,,x
Uncle Tom's Cabin,Harriet Beecher Stowe,,x
Utopia,Thomas More,x,
Walden,Henry David Thoreau,x,
We Beat the Street,"George Jenkins, Sharon M. Draper",x,
We Need New Names,NoViolet Bulawayo,x,
Where the Crawdads Sing,Delia Owens,,x
White Teeth,Zadie Smith,x,x
Wide Sargasso Sea,Jean Rhys,,x
Woman Warrior,Maxine Hong Kingston,x,x
World War Z,Max Brooks,x,
Wuthering Heights,Emily Bronte,,x
