,title,coref_IDs,common_aliases,gender,race / ethnicity,num_mentions,dialogue,burstiness
1069,knock at the door - ahnert,102,"['your mother', 'mother', 'Mother', 'My mother', 'my mother']",F,MENA,958,213,0.7005462827931727
278,kite runner - hosseini,0_244,['Amir'],M,MENA,6121,660,0.18278384262875652
279,kite runner - hosseini,234,['Baba'],M,MENA,1583,259,0.6447493133753506
280,kite runner - hosseini,233,['Hassan'],M,MENA,1229,140,0.612661099
281,kite runner - hosseini,263,"['Sohrab', 'Sohrab jan']",M,MENA,1030,144,0.8070371931887669
743,kindred - butler,0_65,['Dana'],F,Black,7669,1133,0.14100737197547325
744,kindred - butler,73,"['Mister Rufus', 'Rufus', 'Marse Rufe', 'Mr. Weylin', 'Mister Rufe', 'Rufe']",M,White,2790,571,0.5769488109258507
745,kindred - butler,64,['Kevin'],M,White,1532,424,0.6448204880314198
746,kindred - butler,72,['Alice'],F,Black,908,199,0.713121838
547,kafka on the shore - murakami,0_171,"['Kafka Tamura', 'Kafka']",M,Asian,6683,703,0.646596365
548,kafka on the shore - murakami,183,"['Mr. Nakata', 'Nakata', 'a normal Nakata']",M,Asian,2638,445,0.7485504928815622
549,kafka on the shore - murakami,228,"['Hoshino', 'Mr. Hoshino']",M,Asian,2448,862,0.7585404220082517
550,kafka on the shore - murakami,174,['Oshima'],M,Asian,1542,678,0.7493996065141495
551,kafka on the shore - murakami,177,['Miss Saeki'],F,Asian,1119,210,0.7627053267697032
1038,just mercy - stevenson,0_147_152,"['Bryan Stevenson', 'Bryan']",M,Black,2050,147,0.6491654391268811
1039,just mercy - stevenson,150,"['McMillian', 'Walter McMillian', 'Walter']",M,Black,1194,64,0.709098673
1040,just mercy - stevenson,162,"['Ralph', 'Myers', 'Ralph Myers']",M,White,365,26,0.684540537
296,jungle - sinclair,141,"['Jurgis Rudkus', 'Jurgis', 'poor Jurgis']",M,White,5840,466,0.6498521164436054
297,jungle - sinclair,142,['Ona'],F,White,629,13,0.734560059
1375,jumped in - flores-scott,0_149,"['SAM', 'Sam', 'Samuel']",M,White (unmarked),3386,195,0.23814499006378173
1376,jumped in - flores-scott,150,"['LUIS', 'Luis', 'Luis Cardenas']",M,Latino/a/x,1176,158,0.5050854489149088
1377,jumped in - flores-scott,148,"['Ms. Cassidy', 'Cassidy']",F,Black,326,86,0.592555098
1564,jude the obscure - hardy,154,"['Fawley', 'Jude Fawley', 'Jude']",M,White (unmarked),5564,743,0.5386301681566149
1565,jude the obscure - hardy,161,"['Sue', 'Sue Bridehead', 'Susanna', 'dear Sue']",F,White (unmarked),3101,520,0.7573124266713551
1566,jude the obscure - hardy,157,"['Donn', 'Arabella']",F,White (unmarked),1128,312,0.7209024185615286
982,joys of motherhood - emecheta,87,['Nnu Ego'],F,Black,3156,332,0.678449898
983,joys of motherhood - emecheta,100,"['Owulum', 'Nnaife']",M,Black,1934,177,0.5345755842610047
984,joys of motherhood - emecheta,88,"['Agbadi', 'Nwokocha Agbadi']",M,Black,739,79,0.7579657773344408
985,joys of motherhood - emecheta,118,['Oshia'],M,Black,676,48,0.5675514780828208
880,joy luck club - tan,0_157,"['Jing - mei', 'Jing-mei Woo', 'Jing - mei Woo', 'Jing-mei']",F,Asian,1529,97,0.8876569052570148
882,joy luck club - tan,149_0,"['Auntie Lindo', 'Lindo']",F,Asian,1394,77,0.8350876672312263
883,joy luck club - tan,159_0,['Waverly'],F,Asian,995,93,0.8352635365276262
881,joy luck club - tan,147_0,"['An-mei', 'An - mei', 'Auntie An - mei']",F,Asian,842,31,0.8938553508206518
884,joy luck club - tan,160_0,['Lena'],F,"Asian, White (unmarked)",812,49,0.8439869122456133
885,joy luck club - tan,153_0,['Rose'],F,Asian,702,49,0.8694995281322484
668,jasmine - mukherjee,0_219_220_244_247_315,"['Jase', 'Jyoti', 'Jasmine', 'Jane']",F,Asian,2958,210,0.19005201229483878
669,jasmine - mukherjee,221,['Bud'],M,White,541,65,0.7447139200925608
670,jasmine - mukherjee,234,['Du'],M,Asian,355,77,0.7066653416519203
1516,jane eyre - bronte,0_151,"['Jane', 'Jane Eyre']",F,White,9850,898,0.3919028656984613
1517,jane eyre - bronte,211,"['Rochester', 'Mr. Rochester']",M,White,2048,407,0.7122064274277349
91,invisible man - ellison,0,['narrator'],M,Black,10194,1387,0.3667606174946826
576,into the wild - krakauer,494_496,"['Chris McCandless', 'Alex', 'McCandless', 'Chris']",M,White,2421,127,0.7135132496591367
577,into the wild - krakauer,0,"['Jon Krakauer', 'Jon']",M,White,968,11,0.6126207004747585
1320,inheritance of loss - desai,445,['Sai'],F,"Asian, MENA",1009,134,0.6064409454228752
1321,inheritance of loss - desai,449,['Biju'],M,Asian,968,123,0.7296155344986209
1322,inheritance of loss - desai,608,"['the judge', 'The judge']",M,Asian,827,133,0.7093155974418559
1323,inheritance of loss - desai,448,['Gyan'],M,Asian,754,106,0.7029165819499291
1324,inheritance of loss - desai,611,"['the cook', 'The cook']",M,Asian,710,199,0.6399396097346324
893,in the time of the butterflies - alvarez,198_0,"['Minerva Mirabal', 'Minerva']",F,Latino/a/x,2634,331,0.4972833417600592
895,in the time of the butterflies - alvarez,253_0,"['Patria Mercedes', 'Patria']",F,Latino/a/x,1790,203,0.6817524490796215
892,in the time of the butterflies - alvarez,191,"['Mama Dede', 'Mama', 'Dede']",F,Latino/a/x,1595,198,0.5707519427644352
894,in the time of the butterflies - alvarez,199_0,['Maria Teresa'],F,Latino/a/x,1527,33,0.7931583568165376
891,in the time of the butterflies - alvarez,0_192_193_194,"['Ded£', 'Ded6', 'Dedd', 'Mami', 'Dedé']",F,Latino/a/x,1067,133,0.6959022204597763
454,in the lake of the woods - o'brien,218_230,"['Wade', 'Sorcerer', 'John', 'John Wade']",M,White (unmarked),2920,480,0.4604103336854659
455,in the lake of the woods - o'brien,217,['Kathy'],F,White,1434,211,0.5698851080476769
456,in the lake of the woods - o'brien,0,['narrator'],M,White (unmarked),376,7,0.6657751727266137
457,in the lake of the woods - o'brien,222,"['Tony Carbo', 'Anthony L.', 'Tony', 'Tony ) Carbo']",M,White (unmarked),360,182,0.7123930629647178
695,in cold blood - capote,396,"['Perry Edward Smith', 'Teddy', 'Smith', 'Perry', 'Tex John Smith', 'Perry Smith', 'Harrison Smith']",M,"White, Native/Indigenous",2163,288,0.5987382464798423
696,in cold blood - capote,397,"['Richard Eugene Hickock', 'Richard Hickock', 'Dick', 'Hickock']",M,White,1558,321,0.6353169728210433
697,in cold blood - capote,456,"['Al Dewey', 'Dewey', 'Alvin', 'Alvin Dewey', 'Al']",M,White,575,107,0.7197595672421274
1337,immortal life of henrietta lacks - skloot,238,['Deborah'],F,Black,2484,414,0.7871306912527466
1338,immortal life of henrietta lacks - skloot,234,"['Henrietta', 'Henrietta Lacks', 'Lacks']",F,Black,1256,42,0.5118978657478914
1339,immortal life of henrietta lacks - skloot,0,"['Rebecca Skloot', 'Rebecca']",F,White,1238,104,0.6130930965743716
1089,i rigoberta menchu - menchu,0,"['Rigoberta', 'Rigoberta Menchú']",F,"Native/Indigenous, Latino/a/x",3278,139,0.5524542862317319
1090,i rigoberta menchu - menchu,194,"['My father', 'my father']",M,"Native/Indigenous, Latino/a/x",841,60,0.640452953
1091,i rigoberta menchu - menchu,139,"['my mother', 'My mother']",F,"Native/Indigenous, Latino/a/x",700,41,0.633833004
876,i know why the caged bird sings - angelou,0_197,"['Maya Angelou', 'Maya']",F,Black,3545,106,0.3533748778630248
877,i know why the caged bird sings - angelou,155,"['Bailey', 'Daddy', 'Junior', 'Daddy Bailey', 'Bailey Johnson']",M,Black,906,110,0.5313009677571493
878,i know why the caged bird sings - angelou,152,['Momma'],F,Black,697,157,0.5157795526951748
879,i know why the caged bird sings - angelou,182,"['her mother', 'our mother', 'Mother', 'Mother Dear', 'his mother', 'my mother']",F,Black,510,64,0.7283487408639053
1474,i am not your perfect mexican daughter - sanchez,0_119,['Julia'],F,Latino/a/x,6618,568,0.15973924898140648
1475,i am not your perfect mexican daughter - sanchez,117,['Ama'],F,Latino/a/x,890,160,0.5608502913493593
1476,i am not your perfect mexican daughter - sanchez,126,['Lorena'],F,Latino/a/x,800,188,0.680159071
1477,i am not your perfect mexican daughter - sanchez,116,['Olga'],F,Latino/a/x,566,7,0.4801559056050691
1478,i am not your perfect mexican daughter - sanchez,174,['Connor'],M,White,507,109,0.7730919165669939
721,i am malala - yousafzai,0_318,['Malala'],F,MENA,3756,135,0.3355328680034558
722,i am malala - yousafzai,8437,"['My father', 'my father']",M,MENA,1604,222,0.39423901133194733
1157,hunger games - collins,0_54,['Katniss'],F,White,7365,578,0.16425070239721837
1158,hunger games - collins,61,"['Peeta Mellark', 'Peeta']",M,White,1902,402,0.5833413944056607
1159,hunger games - collins,60,['Haymitch'],M,White,531,108,0.6064197281961982
1160,hunger games - collins,74,['Rue'],F,Black,452,87,0.6346076899771701
1369,human being died that night - gobodo-madikizela,126,"['De Kock', 'de Kock']",M,White,1060,135,0.668624884
1368,human being died that night - gobodo-madikizela,0_148,"['Pumla Gobodo-Madikizela', 'Pumla']",F,Black,1034,41,0.500377558
348,howards end - forster,251,"['Margaret', 'Meg']",F,White,3047,914,0.47566982226077653
349,howards end - forster,250,['Helen'],F,White,1693,493,0.5477697659339958
350,howards end - forster,304,['Henry'],M,White (unmarked),842,160,0.8208113920324354
351,howards end - forster,254,['Mr. Wilcox'],M,White,718,184,0.6102865576614976
352,howards end - forster,286,"['Leonard Bast', 'Len', 'Leonard']",M,White (unmarked),689,112,0.7782448993305147
1178,how the garcia girls lost their accents - alvarez,0_111_121_140_141,"['Yosita', 'Yolanda', 'Yoyo', 'Yo', 'Joe']",F,Latino/a/x,1919,187,0.6980756207668475
1177,how the garcia girls lost their accents - alvarez,0_136_137,"['Sandra', 'Sandi']",F,Latino/a/x,797,60,0.6904765448668125
1179,how the garcia girls lost their accents - alvarez,135_0,['Carla'],F,Latino/a/x,694,92,0.6923383790276435
77,how does it feel to be a problem - bayoumi,471,['Lina'],F,MENA,1013,59,0.3210642494982717
78,how does it feel to be a problem - bayoumi,392,['Sami'],M,MENA,959,76,0.8779927644984343
79,how does it feel to be a problem - bayoumi,506,"['Rami', 'Abu Rami']",M,MENA,881,106,0.37107394471279226
80,how does it feel to be a problem - bayoumi,424,['Yasmin'],F,MENA,845,73,0.26118503343085064
81,how does it feel to be a problem - bayoumi,444,['Akram'],M,MENA,638,81,0.867037282
82,how does it feel to be a problem - bayoumi,488,['Omar'],M,MENA,573,58,0.7762452199613299
76,how does it feel to be a problem - bayoumi,0_394,"['Moustafa Bayoumi', 'Moustafa']",M,MENA,543,33,0.386036786
83,how does it feel to be a problem - bayoumi,395,['Rasha'],F,MENA,488,31,0.5718757413502038
373,housekeeping a novel - robinson,50,['Sylvie'],F,White (unmarked),1489,390,0.539276909
372,housekeeping a novel - robinson,0_65,"['Ruth Stone', 'Ruth', 'Ruthie']",F,White (unmarked),1222,70,0.36017348423988393
374,housekeeping a novel - robinson,53,['Lucille'],F,White,720,183,0.5635886385782642
375,housekeeping a novel - robinson,95,"['my grandmother', 'My grandmother']",F,White (unmarked),181,3,0.5479558824090789
1264,house on mango street - cisneros,0_46,"['Esperanza Cordero', 'Esperanza']",F,Latino/a/x,855,0,0.41000445101313476
1265,house on mango street - cisneros,83,['Sally'],F,Latino/a/x,167,0,0.602206824
1266,house on mango street - cisneros,45,['Nenny'],F,Latino/a/x,88,0,0.4853023270302222
1449,house of the spirits - allende,0_159,['Alba'],F,Latino/a/x,3655,104,0.7924468427826563
1450,house of the spirits - allende,111,"['Esteban Trueba', 'Esteban Garcia', 'Trueba', 'Esteban']",M,Latino/a/x,2144,75,0.721082981
1451,house of the spirits - allende,101,['Clara'],F,Latino/a/x,2082,85,0.6928847719201011
1452,house of the spirits - allende,141,['Blanca'],F,Latino/a/x,1771,44,0.684371979
1453,house of the spirits - allende,145,['Jaime'],M,Latino/a/x,947,44,0.6741626822171306
1454,house of the spirits - allende,143,"['Pedro Tercero', 'Pedro', 'old Pedro Garcia', 'Pedro Garcia', 'Pedro Tercero Garcia']",M,Latino/a/x,820,30,0.6839521374043346
286,house of the scorpion - farmer,83,['Matt'],M,Latino/a/x,6307,672,0.14915720265726837
287,house of the scorpion - farmer,94,['Maria'],F,Latino/a/x,1147,309,0.6545134320484645
288,house of the scorpion - farmer,84,['Celia'],F,Latino/a/x,785,206,0.5450371155991444
289,house of the scorpion - farmer,99,['El Patron'],M,Latino/a/x,745,86,0.48238367970174384
290,house of the scorpion - farmer,112,"['Lin', 'Tam Lin']",M,White,578,147,0.5000629849015349
434,house of seven gables - hawthorne,77_89,"['old Hepzibah', 'Miss Hepzibah Pyncheon', 'poor Hepzibah', 'Miss Hepzibah', 'Hepzibah', 'Cousin Hepzibah', 'Poor Hepzibah']",F,White,1294,148,0.6844989471766223
435,house of seven gables - hawthorne,93,"['Cousin Phoebe', 'Phoebe', 'Miss Phoebe']",F,White,1192,163,0.7976429369270184
436,house of seven gables - hawthorne,97,"['Clifford', 'Cousin Clifford']",M,White,1035,74,0.7930048715068236
437,house of seven gables - hawthorne,66,"['Mr. Holgrave', 'Holgrave']",M,White (unmarked),414,77,0.7271714608024366
438,house of seven gables - hawthorne,74,['Judge Pyncheon'],M,White,365,25,0.6760343320437913
752,house of mirth - wharton,118,"['Lily', 'Lily Bart', 'Miss Bart', 'Miss Lily']",F,White,6604,454,0.4740792682134379
753,house of mirth - wharton,117,"['Lawrence Selden', 'Mr. Selden', 'Selden', 'Lawrence']",M,White (unmarked),1879,152,0.7478503082058764
754,house of mirth - wharton,131,"['Rosedale', 'Mr. Rosedale']",M,White,691,62,0.7165992235634078
755,house of mirth - wharton,121,"['Gerty Farish', 'Gerty']",F,White (unmarked),594,47,0.7319642350849751
1443,house made of dawn - momaday,121_0,['Ben'],M,Native/Indigenous,693,2,0.6880967597186797
1440,house made of dawn - momaday,94,['Abel'],M,Native/Indigenous,662,9,0.7966278339023517
1441,house made of dawn - momaday,123,['Milly'],F,White,240,2,0.6335314059504563
1442,house made of dawn - momaday,104,['Father Olguin'],M,Latino/a/x,214,22,0.7738564936630015
1402,house for mr biswas - naipaul,230,"['Alec', 'Biswas', 'Mr Biswas']",M,Asian,6803,1121,0.4399944472061486
1403,house for mr biswas - naipaul,231,['Shama'],F,Asian,1808,325,0.6990343876449993
1404,house for mr biswas - naipaul,328,['Anand'],M,Asian,1797,185,0.6773060231707875
818,homegoing - gyasi,264_268,"['Sonny', 'Carson']",F,Black,919,57,0.8137571333712792
819,homegoing - gyasi,158,"['James Collins', 'Richard', 'James']",M,White,866,51,0.8772225067456756
820,homegoing - gyasi,288,['Marjorie'],F,Black,788,73,0.7375418304223764
821,homegoing - gyasi,262,"['Ma Willie', 'Willie']",F,Black,726,56,0.7877195596961857
822,homegoing - gyasi,145,['Effia'],F,Black,723,39,0.8413847046541373
823,homegoing - gyasi,247,['Akua'],F,Black,699,29,0.8648182939088921
824,homegoing - gyasi,170,['Esi'],F,Black,667,43,0.811971891
825,homegoing - gyasi,260,['Yaw'],M,Black,665,52,0.8737031004801943
1267,home to harlem - mckay,191,['Jake'],M,Black,1587,403,0.5593686569072274
1268,home to harlem - mckay,202,['Zeddy'],M,Black,481,116,0.7356849913059128
1269,home to harlem - mckay,250,['Ray'],M,Black,426,80,0.6195743440190972
1270,home to harlem - mckay,212,"['Rose', 'Rosalind', 'the Congo']",F,Black,309,44,0.7432152311804927
1271,home to harlem - mckay,219,['Susy'],F,"Black, White",268,44,0.7886781469215418
544,holes - sachar,37,"['Stanley Yelnats', 'Stanley']",M,White (unmarked),3137,299,0.5325475392537744
545,holes - sachar,55,['Zero'],M,"Black, MENA",1020,216,0.6067021914012093
546,holes - sachar,107,"['The Warden', 'the Warden']",F,White,287,131,0.5651032950690804
989,high wind in jamaica - hughes,103,['Emily'],F,White,1426,153,0.6162622030506054
990,high wind in jamaica - hughes,129,"['Jonsen', 'Captain Jonsen']",M,Latino/a/x,562,57,0.5684174445741706
991,high wind in jamaica - hughes,107,['Rachel'],F,White,244,52,0.5452444966689421
1590,hen who dreamed she could fly - hwang,7,['Sprout'],F,Asian,1775,152,0.19514780554028358
1591,hen who dreamed she could fly - hwang,13,['Greentop'],M,Asian,352,32,0.42224956928837226
1592,hen who dreamed she could fly - hwang,10,['Straggler'],M,Asian,311,38,0.5701945867041697
1593,hen who dreamed she could fly - hwang,1051,"['The weasel', 'the weasel']",F,Asian,217,18,0.4822079831361987
604,help - stockett,240_0,"['Skeeter', 'Miss Skeeter']",F,White,5591,754,0.7488930541860475
600,help - stockett,239_0,['Aibileen'],F,Black,4129,656,0.761889941
601,help - stockett,237_0,"['Minny', 'Minny Jackson', 'Jackson']",F,Black,3760,565,0.738692944
598,help - stockett,245,"['Miss Celia', 'Celia', 'Celia Foote']",F,White,1775,339,0.8179904191039948
599,help - stockett,241,"['Hilly ’s', 'Hilly', 'Hilly Holbrook', 'Miss Hilly']",F,White,1538,293,0.6106616415200916
602,help - stockett,285,"['my mother', 'Mother', 'his mother', 'your mother']",F,White,1094,260,0.7640410443587223
603,help - stockett,233,['Miss Leefolt'],F,White,991,163,0.7403260554882222
1261,heart of darkness - conrad,0_36,['Marlow'],M,White,1591,140,0.2901800174547933
1262,heart of darkness - conrad,39,"['Kurtz', 'Mr. Kurtz']",M,White,636,76,0.5490511524402711
1263,heart of darkness - conrad,542,"['the manager', 'The manager']",M,White,141,30,0.4351922336924045
118,haunting of hill house - jackson,0_31,"['Eleanor Vance', 'Eleanor', 'Helen']",F,White (unmarked),3082,578,0.4460496825075109
119,haunting of hill house - jackson,32,"['Theodora', 'Theo']",F,White (unmarked),1482,633,0.698958973
120,haunting of hill house - jackson,178,"['the doctor', 'The doctor']",M,White (unmarked),1005,463,0.7443489334839464
121,haunting of hill house - jackson,33,['Luke'],M,White (unmarked),770,327,0.6962749078788613
1308,hate u give - thomas,0_101,['Starr'],F,Black,5352,826,0.2456763558579141
1309,hate u give - thomas,123,"['Daddy', 'my daddy', 'your daddy']",M,Black,1518,608,0.6618578850201905
1310,hate u give - thomas,129,"['his momma', 'Your momma', 'Momma', 'my momma', 'your momma']",F,Black,1145,490,0.5570940809318767
1311,hate u give - thomas,119,"['Khalil Harris', 'Khalil']",M,Black,890,84,0.531234305
1312,hate u give - thomas,109,['Chris'],M,White,868,217,0.6647519538474785
1313,hate u give - thomas,103,['Seven'],M,Black,803,249,0.6379596009108379
635,hard times - dickens,69,"['Mr. Bounderby', 'Bounderby', 'Josiah Bounderby', 'old Bounderby', 'Loo Bounderby']",M,White,1630,452,0.6591801759063899
636,hard times - dickens,75,"['Tom', 'Mr. Gradgrind', 'young Tom', 'young Mr. Tom', 'Thomas Gradgrind', 'Thomas', 'Tom Gradgrind']",M,White,1461,409,0.7037538591019694
637,hard times - dickens,83,"['Miss Louisa', 'Louisa']",F,White,1015,178,0.6969208922081903
638,hard times - dickens,103,['Mrs. Sparsit'],F,White (unmarked),947,269,0.7762016581242074
639,hard times - dickens,72,"['Stephen', 'Stephen Blackpool']",M,White (unmarked),871,115,0.836536668
640,hard times - dickens,74,"['Harthouse', 'Mr. James Harthouse', 'James Harthouse', 'Jem', 'Mr. Harthouse']",M,White (unmarked),638,146,0.8433395496249754
641,hard times - dickens,71,"['Cecilia Jupe', 'Sissy Jupe', 'Sissy', 'Jupe']",F,White,571,91,0.7828355975282213
1343,handmaid s tale - atwood,0_4315,['Offred'],F,White,4869,198,0.335463936
1344,handmaid s tale - atwood,177,"['The Commander', 'the Commander']",M,White,667,130,0.6245382430448564
1345,handmaid s tale - atwood,85,['Moira'],F,White (unmarked),462,28,0.6307299471113388
1346,handmaid s tale - atwood,93,"['Serena', 'Serena Joy']",F,White,417,52,0.6430871821638904
1521,gulliver s travels - swift,0,['Gulliver'],M,White,5367,0,0.44573992729400025
1522,gulliver s travels - swift,416,"['My master', 'my master']",M,Non-human,463,0,0.8391868011326512
957,grendel - gardner,0_21,['Grendel'],M,Non-human,2018,158,0.37898134863418725
958,grendel - gardner,20,['Hrothgar'],M,White,242,5,0.5234718926322616
959,grendel - gardner,130,['the dragon'],M,Non-human,199,71,0.8146672604744967
1484,great gatsby - fitzgerald,0_147,"['Nick', 'Nick Carraway']",M,White,1367,155,0.37380939700398574
1485,great gatsby - fitzgerald,143,"['Jay Gatsby', 'Mr. Gatsby', 'Gatsby']",M,White,910,217,0.5823302952241842
1486,great gatsby - fitzgerald,144,['Daisy'],F,White,669,183,0.658994163
1487,great gatsby - fitzgerald,145,"['Tom Buchanan', 'Tom']",M,White,628,239,0.7275596850286097
1488,great gatsby - fitzgerald,148,"['Jordan', 'Jordan Baker']",F,White,223,86,0.5955841579841824
480,great expectations - dickens,0_142_143,"['Pip', 'Philip', 'Philip Pirrip']",M,White (unmarked),9837,783,0.29077836389113193
481,great expectations - dickens,146,"['Joseph', 'dear Joe', 'Gargery', 'Joe', 'Joe Gargery', 'Mrs. Joe']",M,White,1204,361,0.71935829
482,great expectations - dickens,195,"['Herbert Pocket', 'Herbert', 'Mr. Herbert']",M,White,1201,286,0.6620062950095924
483,great expectations - dickens,165,"['Havisham', 'Miss Havisham']",F,White (unmarked),1163,224,0.683137778
484,great expectations - dickens,166,"['Miss Estella', 'Estella']",F,White,1033,180,0.7238374073496286
485,great expectations - dickens,187,"['Wemmick', 'Mr. Wemmick']",M,White (unmarked),1008,310,0.7846403427015296
999,grapes of wrath - steinbeck,211_226,"['Tom Joad', 'Tom', 'Thomas', 'Joad', 'Tommy']",M,White (unmarked),4123,1496,0.6725414108334465
1000,grapes of wrath - steinbeck,216,"['Ma', 'your ma']",F,White (unmarked),2963,1201,0.648923645
1001,grapes of wrath - steinbeck,219,['Pa'],M,White (unmarked),1217,460,0.5476650179487519
67,graffiti girl - parra,0_33,"['Angel Rodriguez', 'Angel']",F,Latino/a/x,4826,516,0.070538984
68,graffiti girl - parra,41,"['Miguel Badalin', 'Miguel', 'Badalin']",M,Latino/a/x,1077,209,0.5142587668150731
69,graffiti girl - parra,38,"['Nathan', 'Ramos']",M,Latino/a/x,941,208,0.7023735529542727
70,graffiti girl - parra,34,['Beth'],F,White,770,164,0.6494126848983488
814,good soldier - ford,178,"['Edward', 'Edward Ashburnham', 'Ashburnham']",M,White,2067,45,0.5898004109416157
813,good soldier - ford,0_3580,"['John Dowell', 'John']",M,White,1971,18,0.43665041457494747
815,good soldier - ford,175,['Leonora'],F,White,1845,102,0.5661509508095577
816,good soldier - ford,174,"['Miss Hurlbird', 'Hurlbird', 'Florence']",M,White,1021,34,0.7410484429168254
817,good soldier - ford,207,"['Nancy', 'Nancy Rufford']",F,White,639,27,0.792150347
665,goldfinch - tartt,0_793,"['Theodore Decker', 'Theodore', 'Theo']",M,White (unmarked),14796,1701,0.23332808821375325
666,goldfinch - tartt,889,['Boris'],M,White,3906,1652,0.8071590581226888
667,goldfinch - tartt,786,"['Hobie', 'Hobie ’s']",M,White,1525,500,0.75391111
605,golden bowl - james,93,['Maggie'],F,White (unmarked),5431,684,0.636296026
606,golden bowl - james,143,"['the Prince', 'The Prince']",M,White,1528,248,0.6638096662295314
607,golden bowl - james,127,"['Charlotte', 'Charlotte Stant']",F,White (unmarked),1460,176,0.5664849854832547
608,golden bowl - james,96,['Mrs. Assingham'],F,White (unmarked),1159,387,0.720688702
609,golden bowl - james,98,"['Fanny', 'Fanny Assingham']",F,White (unmarked),1136,253,0.6804072910534896
610,golden bowl - james,210,"['Her father', 'her father']",M,White (unmarked),791,74,0.6484606980333179
1081,going after cacciato - o'brien,316,"['Berlin', 'Paul Berlin', 'Private First Class Paul Berlin']",M,White,1358,198,0.4344386297233514
1082,going after cacciato - o'brien,324,"['Spec Four Paul Berlin', 'Spec Four']",M,White (unmarked),810,68,0.8249681824179486
1083,going after cacciato - o'brien,388,"['The lieutenant', 'the lieutenant']",M,White (unmarked),768,252,0.5831621908357936
1084,going after cacciato - o'brien,320,"['Doc', 'Doc Peret']",M,White (unmarked),701,399,0.39576338592484384
1085,going after cacciato - o'brien,314,"['Oscar', 'Oscar Johnson']",M,Black,661,334,0.4268858792286392
1086,going after cacciato - o'brien,318,['Cacciato'],M,White (unmarked),594,51,0.5637475245468222
1087,going after cacciato - o'brien,311,"['Stink', 'Stink Harris']",M,White (unmarked),462,141,0.5974395054072605
1420,god of small things - roy,249,['Ammu'],F,Asian,1252,167,0.6473263145524193
1421,god of small things - roy,243,"['Ambassador Rahel', 'Rahel']",F,Asian,1046,156,0.5641728441530236
1422,god of small things - roy,245,"['Estha', 'Ambassador Estha']",M,Asian,960,123,0.5888233963676147
1423,god of small things - roy,252,['Chacko'],M,Asian,878,122,0.6311304145062062
1424,god of small things - roy,244,"['Baby Kochamma', 'Kochamma']",F,Asian,804,113,0.6223947984194356
1425,god of small things - roy,255,['Velutha'],M,Asian,715,35,0.7166337060090741
1426,god of small things - roy,254,['Mammachi'],F,Asian,447,43,0.6046506689354457
652,go tell it on the mountain - baldwin,41,['John'],M,Black,1914,97,0.8193870178200671
651,go tell it on the mountain - baldwin,107_60,"['Elizabeth', 'his mother', 'His mother']",F,Black,1482,139,0.6897560561537073
653,go tell it on the mountain - baldwin,62,['Gabriel'],M,Black,942,88,0.733004662
654,go tell it on the mountain - baldwin,57,"['Aunt Florence', 'Florence']",F,Black,490,114,0.6731827546533391
655,go tell it on the mountain - baldwin,47,"['Elisha', 'Brother Elisha']",M,Black,467,102,0.7683470190013125
656,go tell it on the mountain - baldwin,48,"['our God', 'God']",M,Non-human,422,22,0.3815477075933702
1444,glass castle - walls,0,"['Jeanette', 'Jeanette Walls']",F,White,4015,388,0.3853492446014037
1445,glass castle - walls,201,"['his dad', 'Dad']",M,White,2445,399,0.48425772635606623
1446,glass castle - walls,200,['Mom'],F,White,2021,365,0.47512576228409675
1447,glass castle - walls,204,['Lori'],F,White,592,95,0.4182326852484468
1448,glass castle - walls,203,['Brian'],M,White,561,55,0.4135436155284209
889,giver - lowry,12,['Jonas'],M,White (unmarked),3115,385,0.19603961712381038
888,giver - lowry,1862_42,"['The Giver', 'Giver']",M,White (unmarked),562,213,0.5940639626599897
890,giver - lowry,13,['Lily'],F,White (unmarked),305,57,0.6491308209664678
133,girls burn brighter an unrestored women - rao,160,['Poornima'],F,Asian,3979,354,0.7409842080222013
134,girls burn brighter an unrestored women - rao,161,['Savitha'],F,Asian,3032,260,0.6735120649028068
135,girls burn brighter an unrestored women - rao,187,['Mohan'],M,Asian,547,122,0.6944706317037752
1417,girl on the train - hawkins,109_0,"['RACHEL', 'Rachel']",F,White (unmarked),6308,351,0.7173321018606597
1416,girl on the train - hawkins,112_0,"['MEGAN', 'Megan Hipwell', 'Megan']",F,White,2627,110,0.6800737513399864
1415,girl on the train - hawkins,106_0,"['Anna Watson', 'ANNA', 'Anna', 'Mrs. Watson']",F,White (unmarked),1645,100,0.7181187820911994
1413,girl on the train - hawkins,114,"['Scott Hipwell', 'Scott']",M,White,1426,265,0.655708228
1414,girl on the train - hawkins,103,['Tom'],M,White (unmarked),1281,228,0.6250410745884292
1561,gesture life - lee,0_114,"['Doc', 'Doc Hata']",M,Asian,5979,467,0.1739877370882052
1562,gesture life - lee,124,"['Sunny', 'Sunny Medical Supply']",F,Asian,1384,241,0.7602699320100544
1563,gesture life - lee,133,"['Mary', 'Mary Burns']",F,White,549,65,0.7844923303648514
36,germinal - zola,162,['Étienne'],M,White (unmarked),2356,224,0.6810726294399717
37,germinal - zola,171,['Catherine'],F,White,1465,93,0.6914622538465617
38,germinal - zola,184,['Maheude'],F,White (unmarked),747,140,0.6712797071330887
39,germinal - zola,191,['Chaval'],M,White (unmarked),734,93,0.6953474679513462
630,gathering of old men - gaines,111,['Mapes'],M,White,1332,391,0.7379587580873768
