,Proportion of non-white character mentions,Proportion of non-white character dialogue,Burstiness of most frequent character,Min burstiness non-white character,Min burstiness white character,Dataset,Author race,Most frequent character race,Most frequent character gender,Most frequent character POV,Hollyhock recurrence,AP recurrence,Different main character race in book,Book
89,0.9417031436530043,,0.33571679822495054,0.33571679822495054,0.7252352678973278,AP Only,Non-white,Native/Indigenous,M,First person,0,1,True,round house - erdrich
90,0.0,0.0,0.38649102950415287,inf,0.38649102950415287,AP Only,White,White*,F,Third person,0,1,False,room with a view - forster
91,0.08275789914207993,0.3424657534246575,0.27585716191600795,0.6860100982745906,0.27585716191600795,AP Only,White,White*,M,First person,0,1,True,robinson crusoe - defoe
92,0.0,0.0,0.3722866669296909,inf,0.3722866669296909,Both,White,White*,M,Third person,4,2,False,road - mccarthy
93,0.0,0.0,0.32672157064568336,inf,0.32672157064568336,AP Only,White,White*,M,First person,0,1,False,river runs through it - maclean
94,0.0,0.0,0.6170790013537181,inf,0.6170790013537181,AP Only,White,White*,F,Third person,0,2,False,return of the native - hardy
95,0.9158408932309839,0.9268978444236177,0.531935506464829,0.5092032741274932,0.7996219695380006,AP Only,Non-white,Native/Indigenous,M,Third person,0,3,True,reservation blues - alexie
96,0.0,0.0,0.22266091983695085,inf,0.22266091983695085,AP Only,Non-white,White*,M,First person,0,4,False,remains of the day - ishiguro
97,1.0,1.0,0.23458077001067182,0.23458077001067182,inf,Teachers Only,Non-white,Multiracial†,F,First person,1,0,False,redefining realness - mock
98,0.0,0.0,0.4182522321143283,inf,0.4182522321143283,AP Only,White,White*,M,Third person,0,2,False,red badge of courage - crane
99,1.0,1.0,0.6288962954073072,0.6288962954073072,inf,Teachers Only,Non-white,Latinx,M,Third person,1,0,False,rain god - islas
100,0.12092504876010031,,0.6771575074240777,0.6129165993310881,0.59602379019737,AP Only,White,White*,M,Third person,0,2,True,ragtime - doctorow
101,1.0,1.0,0.24358189041763262,0.24358189041763262,inf,Both,Non-white,Black,F,First person,1,1,False,push - sapphire
102,1.0,1.0,0.30320053138237324,0.30320053138237324,inf,Both,Non-white,Black,F,First person,4,1,False,purple hibiscus - adichie
103,0.0,0.0,0.20810866692938904,inf,0.20810866692938904,Teachers Only,White,White*,M,Third person,1,0,False,purple heart - mccormick
104,0.0,0.0,0.6781264127122683,inf,0.6595965320106408,AP Only,White,White*,M,First person,0,1,False,professor s house - cather
105,0.0,0.0,0.3023105151001793,inf,0.3023105151001793,AP Only,White,White*,F,Third person,0,1,False,prime of miss jean brodie - spark
106,0.0,0.0,0.42251513520163275,inf,0.42251513520163275,Both,White,White*,F,Third person,2,4,False,pride and prejudice - austen
